,0
Start,0
End,250
Period,251 days 00:00:00
Start Value,100.0
End Value,96.89591433648032
Total Return [%],-3.104085663519683
Benchmark Return [%],28.713215946642467
Max Gross Exposure [%],100.0
Total Fees Paid,0.0
Max Drawdown [%],15.088604266378447
Max Drawdown Duration,81 days 00:00:00
Total Trades,3
Total Closed Trades,2
Total Open Trades,1
Open Trade PnL,0.8524279159397992
Win Rate [%],50.0
Best Trade [%],1.2041615849987437
Worst Trade [%],-5.0992716936090705
Avg Winning Trade [%],1.2041615849987437
Avg Losing Trade [%],-5.0992716936090705
Avg Winning Trade Duration,47 days 00:00:00
Avg Losing Trade Duration,16 days 00:00:00
Profit Factor,0.2333341174604153
Expectancy,-1.9782567897297412
Sharpe Ratio,-0.3400469873404861
Calmar Ratio,-0.29703930052048266
Omega Ratio,0.9113819389703669
Sortino Ratio,-0.43304683868824634
